Point,Type,NAME,KIND
"[[121.34131272030587, 30.712520970266624]]",5,乐厦商场,2200
"[[121.33627686038881, 30.71387425479311]]",5,北随塘河路商业街,2200
"[[121.33496862020569, 30.71571529472508]]",5,石化百货,2200
"[[121.33452401966778, 30.717469350430207]]",5,金山不夜城步行街,2200
"[[121.3540050600856, 30.721583339599448]]",5,海景商业广场,2200
"[[121.32776033996774, 30.72869725487444]]",5,东门晶铺,2200
"[[121.3320110395779, 30.728919284897167]]",5,瑞鑫百货东门,2200
"[[121.33185156010143, 30.729379410431463]]",5,瑞鑫百货,2200
"[[121.33156248022433, 30.73144936469643]]",5,金山欧洲商业广场,2200
"[[121.34313881980077, 30.731779350236835]]",5,金山壹号,2200
"[[121.3594855196411, 30.732410970190152]]",5,乐禧汇,2200
"[[121.34380769956577, 30.732498000282533]]",5,百联金山购物中心,2200
"[[121.34380769956577, 30.732498000282533]]",5,东方商厦,2200
"[[121.30092575991591, 30.73282231469812]]",5,上海金山国际贸易城,2200
"[[121.32324989996305, 30.732883515362033]]",5,易家中心,2200
"[[121.32324989996305, 30.732883515362033]]",5,易家中心·溢佰纷购物中心,2200
"[[121.34317914000546, 30.73323887977051]]",5,百联金山购物中心西门,2200
"[[121.35077351988207, 30.734885114856276]]",5,蓝堡商业街,2200
"[[121.34305926037666, 30.73493821532643]]",5,百联金山购物中心北门,2200
"[[121.33606283972833, 30.747494070395057]]",5,涌金商业广场,2200
"[[121.33056438024202, 30.74810350497288]]",5,思致广场,2200
"[[121.33204128018099, 30.749060475360707]]",5,欧富商业广场,2200
"[[121.34008440017502, 30.751355250244686]]",5,红星国际广场,2200
"[[121.33303920029891, 30.759773939715657]]",5,金山万达广场,2200
"[[121.35255839985034, 30.76203847489574]]",5,香涌商业广场东门,2200
"[[121.35193956016258, 30.76269925536635]]",5,香涌商业广场,2200
"[[121.18598154041578, 30.787883729650495]]",5,上海永佳大卖场,2200
"[[121.28483808011337, 30.8054264396785]]",5,金来源商业广场,2200
"[[121.50945558001104, 30.839826329921245]]",5,上师大校园生活中心,2200
"[[121.50360485967661, 30.839909129602667]]",5,海尚·生活广场,2200
"[[121.50140508018035, 30.844418850149886]]",5,应用·品盛商业中心,2200
"[[121.50853055983751, 30.85241597971369]]",5,佳源梦想广场,2200
"[[121.06833390038928, 30.86778460477578]]",5,兴隆百货商店,2200
"[[121.84583220019593, 30.86843251504859]]",5,临港滨河商业街,2200
"[[121.31294003965118, 30.877063109974607]]",5,隆亭商业街,2200
"[[121.91631533978116, 30.887973540246733]]",5,临港新世界休闲广场,2200
"[[121.16350061975785, 30.888307259772255]]",5,金上海生活广场,2200
"[[121.16562443981616, 30.888390824776863]]",5,港翔·休闲广场,2200
"[[121.16617542025948, 30.888411705236088]]",5,金龙新世界广场,2200
"[[121.00851323989409, 30.891399750398236]]",5,鎏园商业城,2200
"[[121.16130570019797, 30.894249870135432]]",5,五福商业广场,2200
"[[121.1700513597825, 30.89709301473092]]",5,上海金山百货有限公司,2200
"[[121.15689731975559, 30.897760229850782]]",5,康隆商业广场,2200
"[[121.92009948010697, 30.89933009990429]]",5,百润时代购物中心,2200
"[[121.01002776027306, 30.90701709016666]]",5,圣罗兰广场,2200
"[[121.39233894019003, 30.908357730225184]]",5,鸿园针织百货店,2200
"[[121.39231895995212, 30.908447684912794]]",5,一新百货店,2200
"[[121.64281902028165, 30.90885250483926]]",5,太阳城时代广场,2200
"[[121.01031666028578, 30.908855249570102]]",5,环球奥莱斯购物公园,2200
"[[121.47307523963073, 30.909542130165264]]",5,正阳南港商业街,2200
"[[121.45343508036478, 30.912230925017276]]",5,理想未来广场,2200
"[[121.81476312002201, 30.91241155474951]]",5,鸿音广场,2200
"[[121.45410630016568, 30.912921720361133]]",5,新发展商业街南门,2200
"[[121.81308894030244, 30.91304826036894]]",5,绿地泥城商业广场,2200
"[[121.64362740018441, 30.913358489602707]]",5,星依生活购物广场,2200
"[[121.45284341998783, 30.914108505303368]]",5,新发展商业街,2200
"[[121.4884342797183, 30.915519344642142]]",5,南桥国际商业广场西门,2200
"[[121.49159543987773, 30.91633829967278]]",5,上海南桥国际商业广场,2200
"[[121.4544364197051, 30.91644000040577]]",5,鸿雁商场,2200
"[[121.48943778012952, 30.91682159983702]]",5,南桥国际商业广场北门,2200
"[[121.47166979982148, 30.916923885129258]]",5,正大生活馆,2200
"[[121.47969582010603, 30.917065139844382]]",5,美人鱼休闲街,2200
"[[121.48356815964289, 30.917295225094612]]",5,绿天商城,2200
"[[121.48456139968891, 30.917827530216464]]",5,绿地未来中心A4楼,2200
"[[121.47926435956265, 30.91817335461669]]",5,百联南桥购物中心,2200
"[[121.47926435956265, 30.91817335461669]]",5,东方商厦（奉贤店）,2200
"[[121.48013699962296, 30.918765239824026]]",5,南方国际广场,2200
"[[121.4534138401766, 30.918776445376686]]",5,余庆商店,2200
"[[121.4357484599235, 30.922354485371287]]",5,邻里汇浩广社区主题商街,2200
"[[121.50046638041923, 30.922481250209557]]",5,宣禾丰谷,2200
"[[121.48581438012957, 30.923587124945968]]",5,贤城广场,2200
"[[121.46145641967817, 30.925811519785846]]",5,阿波罗休闲广场,2200
"[[121.48224192042835, 30.927204944652537]]",5,南郊休闲商业街,2200
"[[121.4808366595843, 30.930269174982456]]",5,上海之鱼,2200
"[[121.45930074023708, 30.931843410345145]]",5,上海奉贤宝龙城市广场,2200
"[[121.45824918005567, 30.93631982989627]]",5,南桥·新都汇南门,2200
"[[121.45801895990712, 30.93696917998375]]",5,南桥·新都汇,2200
"[[121.45789871965034, 30.937318830099983]]",5,南桥·新都汇北门,2200
"[[121.45716665981351, 30.937786920030355]]",5,南桥·新都汇西区东门,2200
"[[121.4570266200825, 30.938346450328453]]",5,南桥·新都汇西区,2200
"[[121.31417160003933, 30.944291399828245]]",5,上海双高商务广场,2200
"[[121.64305536031667, 30.948498270079156]]",5,城尚城,2200
"[[121.49033670017866, 30.962037780219404]]",5,汇金坊,2200
"[[121.17707802013456, 30.973599270190213]]",5,林天商都,2200
"[[121.73889545965783, 30.97421968459087]]",5,美林商业广场,2200
"[[121.44522888000883, 30.97442456993796]]",5,欧士通时尚广场,2200
"[[121.86224802013007, 30.977812350259832]]",5,鑫军财富A3,2200
"[[121.02333336034636, 30.978225270379973]]",5,福来登商厦,2200
"[[121.02330329960765, 30.978884969865497]]",5,朋联国际购物中心,2200
"[[121.49718893971783, 30.980636774567508]]",5,汇欢商业广场,2200
"[[121.42732788007766, 30.991181175371032]]",5,连城商业广场,2200
"[[121.36866696011211, 30.99616708514293]]",5,美惠全商业广场,2200
"[[121.42034820030928, 31.003576469978206]]",5,滨江生活广场,2200
"[[121.24785095995392, 31.003674524859484]]",5,城东商业广场,2200
"[[121.42121939965571, 31.003997310427536]]",5,上海西南商城南门,2200
"[[121.42097909990558, 31.00419697521029]]",5,上海西南商城,2200
"[[121.42090907959043, 31.00449676511368]]",5,上海西南商城东北门,2200
"[[121.42102931984729, 31.0046268601415]]",5,上海西南商城北门,2200
"[[121.21483013959934, 31.00550161540732]]",5,戴家浜生活广场,2200
"[[121.41503424033795, 31.006281779980178]]",5,闵行百货商店,2200
"[[121.23015569972588, 31.006666170007804]]",5,鹿都国际购物广场,2200
"[[121.23289764001413, 31.00693810520945]]",5,大江璞邸休闲商业广场,2200
"[[121.22968517982721, 31.00756526992135]]",5,鹿都国际购物广场2号门,2200
"[[121.23050580040243, 31.007795759866525]]",5,鹿都国际购物广场3号门,2200
"[[121.23112625976907, 31.007796210426825]]",5,乐颂坊精致生活广场,2200
"[[121.39965197975513, 31.008129254561496]]",5,老闵行大食汇餐饮广场,2200
"[[121.28106725964639, 31.008133889667306]]",5,采杰商业广场,2200
"[[121.22385065988011, 31.00849006526441]]",5,申越广场,2200
"[[121.22766360009516, 31.00875295508481]]",5,世纪广场,2200
"[[121.23120617982133, 31.008815639630186]]",5,平高世贸中心商城,2200
"[[121.2262124396524, 31.00901166035988]]",5,上海新纪元商场,2200
"[[121.22869427981725, 31.009073534616]]",5,岳庙商业街,2200
"[[121.229534879731, 31.009134149821207]]",5,松江商城,2200
"[[121.23111600030326, 31.009155345043233]]",5,上海第一百货松江店,2200
"[[121.2298149600924, 31.009554090049313]]",5,松江商城东门,2200
"[[121.20428358042295, 31.01072327975561]]",5,飞航广场永航商业中心,2200
"[[121.20408306038496, 31.012102079847217]]",5,上海飞航广场,2200
"[[121.25024837985893, 31.01241811510394]]",5,玩库金鳞广场,2200
"[[121.40714898014141, 31.013064000103554]]",5,燎升城市生活广场,2200
"[[121.40913906021956, 31.01447326472944]]",5,千代广场,2200
"[[121.20420276014929, 31.014790514970365]]",5,荣丰生活广场,2200
"[[121.1864126403311, 31.015551870222716]]",5,华亭·万科红人馆,2200
"[[121.4146830595756, 31.01626561536588]]",5,置业广场,2200
"[[121.41541422009031, 31.017146129890023]]",5,置业广场精品区,2200
"[[121.19420699975335, 31.01810395463381]]",5,玉乐商业街,2200
"[[121.25106611990554, 31.018133205083423]]",5,颐思殿广场,2200
"[[121.19282478043932, 31.01876153981327]]",5,新理想商业中心,2200
"[[121.25726208008095, 31.021128495183994]]",5,三铭休闲广场,2200
"[[121.64022216042437, 31.022426789764637]]",5,新场购物广场,2200
"[[121.64347908039534, 31.026241394624712]]",5,石笋里,2200
"[[121.20713370016014, 31.030103745391663]]",5,兰桥休闲商业街,2200
"[[121.22640665993946, 31.031225459887175]]",5,9商业广场南门,2200
"[[121.22666550011283, 31.033493325256806]]",5,9商业广场东门,2200
