Point,Type,NAME,KIND,ADMINCODE,ADDRESS
"[[121.48667766, 30.921240959999984]]",4,浦南财富广场,AF00,310120,南奉公路7278
"[[121.49750592000001, 30.921393015000042]]",4,南桥新城,AF00,310120,南奉公路6899
"[[121.43755044000002, 30.921966180000037]]",4,奉贤燃气公司综合楼,AF00,310120,南桥运河北路1239号
"[[121.48688826, 30.922350884999982]]",4,奉贤二建公司办公楼,AF00,310120,
"[[121.48175015999996, 30.927063645000008]]",4,南郊聚润广场B座,AF00,310120,德丰路299弄3
"[[121.46166701999996, 30.927521115000022]]",4,绿地方舟商务楼,AF00,310120,南桥运河北路258
"[[121.4817903, 30.927893264999994]]",4,南郊聚润广场,AF00,310120,德丰路299弄1
"[[121.4817903, 30.927893264999994]]",4,南郊聚润广场A座,AF00,310120,德丰路299弄1
"[[121.44844044000001, 30.930858765000046]]",4,森勤国际,AF00,310120,沪杭公路1818号
"[[121.44844044000001, 30.930858765000046]]",4,森勤国际1号楼,AF00,310120,沪杭公路1818号
"[[121.44728790000003, 30.931246260000044]]",4,森勤国际6号楼,AF00,310120,沪杭公路1818号
"[[121.46350428000002, 30.934523295000027]]",4,绿庭国际大厦,AF00,310120,航南公路5088弄
"[[121.45537259999999, 30.942630945000015]]",4,上海商学院综合楼,AF00,310120,南桥环城东路496
"[[121.44678732, 30.943509255000034]]",4,海业大厦,AF00,310120,奉浦大道518
"[[121.30047918000002, 30.943554480000046]]",4,都市工业大厦,AF00,310117,叶旺公路
"[[121.45452048000001, 30.944398230000047]]",4,奉浦大厦,AF00,310120,奉浦大道111号
"[[121.45652658, 30.944843054999993]]",4,绿地智尊,AF00,310120,奉浦大道99
"[[121.45652658, 30.944843054999993]]",4,绿地智尊B座,AF00,310120,奉浦大道99
"[[121.45652658, 30.944843054999993]]",4,绿地智尊A座,AF00,310120,奉浦大道99
"[[121.50438731999998, 30.95027635500004]]",4,柦明大厦,AF00,310120,金大公路
"[[121.31719488000002, 30.950522280000047]]",4,同州商务大厦,AF00,310117,叶新公路20
"[[121.63880807999996, 30.9554478]]",4,江南大楼,AF00,310120,冯家路288
"[[121.49065836000003, 30.955772520000046]]",4,金水领寓,AF00,310120,嘉园路1
"[[121.47272604, 30.962035259999976]]",4,科技创业大楼,AF00,310120,茂园路659
"[[121.18247910000005, 30.96617359499999]]",4,科技大楼,AF00,310117,甘德路700
"[[121.44597947999995, 30.969987254999964]]",4,综星大厦,AF00,310120,环城东路
"[[121.44578904000001, 30.97031674499996]]",4,供销大厦,AF00,310120,环城东路
"[[121.02403121999996, 30.978063540000022]]",4,蒸淀房地大楼,AF00,310118,蒸裕路69
"[[121.43377926000001, 30.978937485000035]]",4,西屋大厦,AF00,310120,沪杭公路599
"[[121.86320921999999, 30.98165112000003]]",4,华大金港世纪,AF00,310115,老芦公路868号
"[[121.21446006000001, 30.989169495000024]]",4,智慧大厦,AF00,310117,玉阳路699弄1号
"[[121.42693655999997, 30.990630375000016]]",4,连城商业广场,AF00,310120,沪杭公路238
"[[121.42693655999997, 30.990630375000016]]",4,连城商业广场1号楼,AF00,310120,沪杭公路228弄1
"[[121.42590444000001, 30.990958379999977]]",4,连城商业广场3号楼,AF00,310120,沪杭公路228弄3号
"[[121.42649574000001, 30.991279319999975]]",4,连城商业广场2号楼,AF00,310120,沪杭公路228弄2号
"[[121.21953587999997, 30.992213610000007]]",4,仓城影视大楼,AF00,310117,富永路425弄212
"[[121.64391054, 30.996058680000004]]",4,腾鹰大楼,AF00,310115,新奉公路1799
"[[121.37876513999996, 30.999944970000037]]",4,紫藤商厦,AF00,310112,文井路105
"[[121.3776558, 31.002404355000046]]",4,景仁楼,AF00,310112,文井路175号
"[[121.41184230000002, 31.005630630000002]]",4,上海商影大厦,AF00,310112,江川路344号
"[[121.23589949999996, 31.006180485000023]]",4,普照大厦,AF00,310117,普照路8号
"[[121.41902735999997, 31.007993445000015]]",4,双翼大厦,AF00,310112,江川东路1050号
"[[121.22491158000004, 31.008531014999996]]",4,良友大厦,AF00,310117,阔街70
"[[121.22802377999997, 31.008753224999996]]",4,上海五丰商厦,AF00,310117,中山中路155
"[[121.22529173999996, 31.00908091500002]]",4,胡氏大楼,AF00,310117,中山中路338
"[[121.22503146000001, 31.009220640000034]]",4,松江大厦,AF00,310117,人民北路2号
"[[121.41210167999998, 31.009977809999977]]",4,明珠大厦,AF00,310112,兰坪路352弄42号
"[[121.21678241999996, 31.011170895000017]]",4,上农培训大厦,AF00,310117,中山二路658－8
"[[121.23222623999996, 31.011814484999977]]",4,天宝大楼南楼,AF00,310117,谷阳北路36号
"[[121.23216629999999, 31.011914384999983]]",4,天宝大楼,AF00,310117,谷阳北路36号
"[[121.23216629999999, 31.011914384999983]]",4,天宝大楼北楼,AF00,310117,谷阳北路36号
"[[121.21073316000002, 31.01199173999999]]",4,永丰新天地,AF00,310117,永丰路214
"[[121.19149278000003, 31.01214298499998]]",4,三辰苑商业广场,AF00,310117,仓丰路855弄11
"[[121.22491085999998, 31.012388550000047]]",4,平高大厦,AF00,310117,中山二路216
"[[121.23355715999995, 31.01244511500002]]",4,月厦新天地,AF00,310117,松乐路128
"[[121.22382005999997, 31.012907354999985]]",4,嘉和写字楼,AF00,310117,人民北路64号
"[[121.36429619999996, 31.01337603000004]]",4,铁闵大厦,AF00,310112,昆阳路1508
"[[121.22415000000001, 31.014336690000032]]",4,中国电信上海松江电信局（南楼）,AF00,310117,人民北路90
"[[121.22923355999998, 31.01510011499996]]",4,乐都大厦,AF00,310117,乐都路251号
"[[121.22399970000001, 31.01535593999999]]",4,松江信息大楼,AF00,310117,乐都路339号
"[[121.22570087999998, 31.015497150000037]]",4,松江文化综合大楼,AF00,310117,乐都路
"[[121.21320636000002, 31.01589279]]",4,城管大楼,AF00,310117,乐都路490号
"[[121.22377937999997, 31.015915425000006]]",4,松江电力大楼,AF00,310117,乐都路336号
"[[121.23057437999998, 31.015970550000038]]",4,申中大楼,AF00,310117,乐都路182号
"[[121.22219825999998, 31.01612409000004]]",4,云间大厦,AF00,310117,乐都路358
"[[121.20385175999996, 31.017868020000005]]",4,松江时代广场,AF00,310117,荣乐西路189号
"[[121.23226512, 31.018640175000034]]",4,大江商厦,AF00,310117,谷阳北路166号
"[[121.24203011999997, 31.018735755000037]]",4,绿地伯顿广场,AF00,310117,荣乐东路2369弄1
"[[121.24770785999999, 31.01900404500003]]",4,建设大厦,AF00,310117,荣乐东路2111
"[[121.21320563999996, 31.01950043999998]]",4,广源楼,AF00,310117,荣乐中路698弄13
"[[121.30429679999997, 31.020454664999974]]",4,方林大厦,AF00,310117,南姚路129号
