name,point,type
文苑小区,"[[121.46195106029329, 31.299286949633085]]",1.0
成亿花园东区,"[[121.42587887980658, 31.299340454798184]]",1.0
华二小区,"[[121.46503805965884, 31.299345675362694]]",1.0
星苑小区,"[[121.46895666032164, 31.299361605054038]]",1.0
福赐花苑,"[[121.47852204026007, 31.299414299930056]]",1.0
万峰嘉苑,"[[121.47407748009172, 31.2994751849319]]",1.0
远东一村,"[[121.53489552021212, 31.29952828540214]]",1.0
成亿花园西区,"[[121.42553849990188, 31.299550110149575]]",1.0
浣纱六村,"[[121.52842974004058, 31.29959267955855]]",1.0
迎亭公寓,"[[121.60152719982045, 31.299598394750156]]",1.0
高行馨苑,"[[121.60813157990853, 31.299611040117398]]",1.0
水电路1381弄,"[[121.4722675800848, 31.29963079462547]]",1.0
东方馨园,"[[121.50507708044304, 31.299704774655666]]",1.0
水产村,"[[121.30230617968658, 31.299764760335464]]",1.0
玲珑雅墅,"[[121.32141696022464, 31.299801524620683]]",1.0
春江小区,"[[121.47637572006349, 31.299807419676682]]",1.0
德华四村北区,"[[121.30303500016521, 31.299833654699455]]",1.0
文治福邸,"[[121.47807078024246, 31.299927390137]]",1.0
新三小区,"[[121.47661583994906, 31.299977655044792]]",1.0
文治福邸西区,"[[121.4778173395986, 31.299995250280638]]",1.0
凯阳新寓,"[[121.4817494399847, 31.30003039488689]]",1.0
复旦大学－任重书院,"[[121.50130535975464, 31.30006230013511]]",1.0
松花江路95弄,"[[121.53871295973536, 31.30008138015161]]",1.0
复旦大学－任重书院,"[[121.50304577993879, 31.300163324577788]]",1.0
中星凉城新苑,"[[121.46675670006172, 31.30018928980393]]",1.0
佳木斯路208弄小区,"[[121.53581496009235, 31.300208820380824]]",1.0
韶嘉公寓,"[[121.47409709970148, 31.30027906462724]]",1.0
复旦大学－任重书院,"[[121.50114480019246, 31.300432020421496]]",1.0
三湘世纪花城,"[[121.48411967967954, 31.300451640031255]]",1.0
仁恒·森兰雅苑,"[[121.58803710023213, 31.300471935031865]]",1.0
虹翔公寓,"[[121.30174709994878, 31.300665210131434]]",1.0
三湘花园,"[[121.46213537994393, 31.300681725281393]]",1.0
华一小区,"[[121.46665301992098, 31.30070314533397]]",1.0
香阁丽苑,"[[121.51997352006194, 31.300714215088952]]",1.0
华苑小区,"[[121.4658831597801, 31.300807095271338]]",1.0
铂庭俱进家园,"[[121.60232729966523, 31.300828019797365]]",1.0
宝华栎庭,"[[121.32213533957434, 31.300849845444077]]",1.0
逸虹景苑,"[[121.48275851979002, 31.30091059464823]]",1.0
轻舟公寓,"[[121.50666575981697, 31.30104509995148]]",1.0
中农社区,"[[121.5374239803325, 31.301149905144094]]",1.0
佳泰花园,"[[121.5275007601521, 31.301151344958676]]",1.0
浣沙小区,"[[121.52933946004808, 31.301152964637645]]",1.0
翔瑞新苑,"[[121.29484553978986, 31.301171684925365]]",1.0
文致公寓,"[[121.4787090596755, 31.301281035291638]]",1.0
复旦大学－北区学生公寓,"[[121.49287110032103, 31.301346555399284]]",1.0
翔瑞新苑南区,"[[121.2917495400093, 31.301394839999958]]",1.0
建新小区,"[[121.50737550027918, 31.301415404797112]]",1.0
翔瑞新苑,"[[121.29134021987534, 31.301495234917226]]",1.0
联建小区,"[[121.39811262010141, 31.30157447957864]]",1.0
联乾小区,"[[121.39408548026071, 31.301586810183174]]",1.0
邯郸路500·524弄住宅小区,"[[121.5082155597004, 31.301615789936797]]",1.0
海湾新苑,"[[121.47417990028228, 31.301629154761685]]",1.0
仁缘坊,"[[121.53078864018372, 31.301694045344014]]",1.0
骏华苑,"[[121.40732501973389, 31.30169787016066]]",1.0
仁恒·森兰墅,"[[121.5902984401209, 31.301712225139106]]",1.0
川虹小区,"[[121.47854039991955, 31.30181577038153]]",1.0
奎照路790弄住宅小区,"[[121.46476211977608, 31.301826435441654]]",1.0
车站西路小区,"[[121.47881255995176, 31.301857214738725]]",1.0
奎江公寓,"[[121.46229720035558, 31.30194505512027]]",1.0
中星凉城西苑,"[[121.46502815992173, 31.30196012955637]]",1.0
白玉兰馨园,"[[121.42488815966092, 31.301979029708477]]",1.0
奎照路411弄小区,"[[121.4735893199912, 31.301992530331056]]",1.0
曙光苑,"[[121.32284382008629, 31.30199815469114]]",1.0
柯玛仕庄园,"[[121.31546922012839, 31.302001349982376]]",1.0
卢尔公寓,"[[121.31847288021935, 31.302015974757452]]",1.0
亚馨苑,"[[121.46115150004177, 31.302025334901316]]",1.0
中星凉城苑,"[[121.46873507996011, 31.30205899472682]]",1.0
水仙家园,"[[121.46232185976609, 31.302217844677877]]",1.0
幸福小镇,"[[121.60639079999541, 31.302279944663745]]",1.0
佳伟小区,"[[121.46872949966682, 31.30236566983986]]",1.0
东岸新里,"[[121.53600521976509, 31.30243829998762]]",1.0
龙腾小区,"[[121.47708761979794, 31.302451484948122]]",1.0
三湘世纪花城（三期）,"[[121.48692786043253, 31.30247241037351]]",1.0
绿景家苑,"[[121.52804058000882, 31.30250139012704]]",1.0
科艺小区,"[[121.46552532043722, 31.30259058039102]]",1.0
良辰美景公寓（南块）,"[[121.46159772025862, 31.302645209708707]]",1.0
科兴公寓,"[[121.46580864015665, 31.302672659715512]]",1.0
杨浦欣园,"[[121.53547548040913, 31.302677745381708]]",1.0
奎照公寓,"[[121.46723099981088, 31.3027123503947]]",1.0
东苑学生生活园区,"[[121.5032124602869, 31.302732239801088]]",1.0
紫翠·新行苑,"[[121.60954061970395, 31.302748889849447]]",1.0
景瑞花园,"[[121.47361902010175, 31.302796499958546]]",1.0
阳光城·自由区,"[[121.58456381956469, 31.30283902530082]]",1.0
杨浦欣园东区,"[[121.53575538000686, 31.302917910233447]]",1.0
浣纱四村81～82号,"[[121.52861027984058, 31.302961739592703]]",1.0
志德书院,"[[121.50412236015879, 31.302992654687365]]",1.0
紫翠苑,"[[121.60945062005007, 31.30307887538985]]",1.0
浣沙四·五村,"[[121.53129840020111, 31.3031140199961]]",1.0
万康小区,"[[121.46428530012653, 31.30313435996279]]",1.0
永泉公寓,"[[121.43647583968834, 31.303203300192223]]",1.0
久久公寓,"[[121.48192511984851, 31.303216709983282]]",1.0
安布瓦湖,"[[121.3159383002125, 31.30328002495326]]",1.0
黄兴绿园,"[[121.53336714038133, 31.30328574014478]]",1.0
中食新村,"[[121.39885134031718, 31.303292760252738]]",1.0
海上硕和城,"[[121.52364354001752, 31.3033672798761]]",1.0
复旦大学北苑学生生活园区－卿云苑,"[[121.49102790021746, 31.30337452481453]]",1.0
明和苑,"[[121.48630632008063, 31.30341160476182]]",1.0
龙汇公寓,"[[121.3931052003447, 31.303425959740267]]",1.0
翔瑞新苑东区,"[[121.29314813957498, 31.303443015382946]]",1.0
乾和园,"[[121.39690265963006, 31.303473749713845]]",1.0
布鲁斯郡,"[[121.31100864033664, 31.30350876032115]]",1.0
政通路285弄住宅小区,"[[121.50795293967646, 31.303534769614004]]",1.0
复旦大学北苑学生生活园区－韶华苑,"[[121.49408843972986, 31.30358629537126]]",1.0
东华苑,"[[121.4178710402164, 31.30362243013107]]",1.0
风情街,"[[121.31882207977529, 31.303674720312145]]",1.0
锦兰苑,"[[121.52242098004426, 31.30367494514261]]",1.0
旭辉U天地,"[[121.32105732043905, 31.303700729605083]]",1.0
新海城,"[[121.48168643977752, 31.30370140499585]]",1.0
浣纱三村,"[[121.53337721998275, 31.30375558465252]]",1.0
聚星苑,"[[121.46667803995965, 31.303784565305513]]",1.0
复旦大学北苑学生生活园区－望道苑,"[[121.49422829959647, 31.303786274916718]]",1.0
复旦大学北苑学生生活园区－燕栖苑,"[[121.49337797980999, 31.303815750196712]]",1.0
粤秀名邸,"[[121.4566219800204, 31.303841040032005]]",1.0
复光苑,"[[121.4956585795799, 31.303847114952397]]",1.0
黄兴绿园东区,"[[121.53543569979772, 31.303887345224844]]",1.0
国济路16弄小区,"[[121.51183374003521, 31.303917135267632]]",1.0
复旦大学北苑学生生活园区－博思苑,"[[121.49104716009843, 31.303944269612444]]",1.0
复旦大学北苑学生生活园区－希德苑,"[[121.49287775980093, 31.303945394664318]]",1.0
绿华新苑,"[[121.46933339981662, 31.303954260180994]]",1.0
沽源小区,"[[121.47316866030555, 31.30398436498649]]",1.0
美好家小区,"[[121.42161504020207, 31.303985714868915]]",1.0
翔前小区,"[[121.42506870036028, 31.3039987649311]]",1.0
龙馨嘉园,"[[121.42481832010944, 31.30400852976991]]",1.0
池沟虹教小区,"[[121.47615773968803, 31.304013389706185]]",1.0
同和国际留学生村,"[[121.49488817984567, 31.304016584997413]]",1.0
宝鸿小区,"[[121.47178301997045, 31.304026439768457]]",1.0
复旦大学北苑学生生活园区－慕辉苑,"[[121.49215740014392, 31.30403489969091]]",1.0
汇文苑,"[[121.49647865966242, 31.30407751496542]]",1.0
四季宜景苑,"[[121.42155510038762, 31.30413561027025]]",1.0
财富公寓,"[[121.51449737995017, 31.304171250402966]]",1.0
东盈公寓,"[[121.47550902002534, 31.304197800188355]]",1.0
广粤路1401弄,"[[121.46279976040071, 31.304210895216706]]",1.0
新悦坊,"[[121.44220686025845, 31.304232135404803]]",1.0
复旦大学北苑学生生活园区,"[[121.49327736006217, 31.304315429713412]]",1.0
文新小区,"[[121.47603174017277, 31.30437973483695]]",1.0
文化花园明珠苑,"[[121.48451495959775, 31.304394269679875]]",1.0
梅花村,"[[121.52020590038208, 31.304450384677594]]",1.0
一品新筑苑,"[[121.46697234040127, 31.30445524461387]]",1.0
沽一小区,"[[121.4734651200194, 31.304482424824037]]",1.0
文化花园,"[[121.49040618000126, 31.304503620046063]]",1.0
益华小区,"[[121.47862427968687, 31.304594789717875]]",1.0
绿雅苑,"[[121.42180529987479, 31.30461571514318]]",1.0
政通路250弄住宅小区,"[[121.50745127985273, 31.30463393990452]]",1.0
文化花园清华苑,"[[121.48457201978295, 31.30466255992927]]",1.0
凉城路1201弄小区,"[[121.46600861970202, 31.304728935292168]]",1.0
辛耕大厦,"[[121.48127819972926, 31.304770515446954]]",1.0
复旦大学留学生公寓,"[[121.49136611995047, 31.304774069567685]]",1.0
兰馨苑,"[[121.52626217965589, 31.304799134572512]]",1.0
仁和苑,"[[121.50816120017934, 31.304844269747306]]",1.0
龙腾阁小区,"[[121.63231656026105, 31.304872260246647]]",1.0
仁德路小区,"[[121.47785279986692, 31.30488751544651]]",1.0
政民路200弄小区,"[[121.50471995965844, 31.305002130444002]]",1.0
海鹰小区,"[[121.42766141973877, 31.305020849832438]]",1.0
翔鹰大厦,"[[121.51958363967333, 31.30503866989875]]",1.0
绿福公寓东区,"[[121.43008404044619, 31.30521295491397]]",1.0
华虹苑,"[[121.47174143981567, 31.30523365460953]]",1.0
中心村,"[[121.50135846022488, 31.305269925166932]]",1.0
创智坊3区南区,"[[121.50407934018952, 31.305271589812065]]",1.0
新城公馆7号楼,"[[121.31900154038885, 31.30529382015372]]",1.0
政民路150弄小区,"[[121.5057499199229, 31.305302594838878]]",1.0
万峰小区,"[[121.46862708037554, 31.30530453018001]]",1.0
兰馨雅苑,"[[121.52887037996416, 31.305311189659733]]",1.0
三湘海尚名邸,"[[121.31982989963024, 31.305372300391404]]",1.0
学府花苑,"[[121.46376275984358, 31.30541707493814]]",1.0
绿福公寓,"[[121.42827216013214, 31.305421305349007]]",1.0
圣·琼斯湾,"[[121.3119165599014, 31.30545640498918]]",1.0
兰花新村住宅小区,"[[121.523388659559, 31.30549447509003]]",1.0
仁德坊,"[[121.479601859838, 31.30551391483531]]",1.0
创智坊3区中区,"[[121.50386892041448, 31.305601304656555]]",1.0
京海小区,"[[121.47203033982838, 31.30564716018837]]",1.0
文轩佳苑,"[[121.51310183987812, 31.305737204808224]]",1.0
仁德公寓,"[[121.48223435982791, 31.305768930192052]]",1.0
新城公馆,"[[121.31876213996092, 31.305844035274028]]",1.0
文化花园园中苑,"[[121.4864746201078, 31.305875400029713]]",1.0
兰花教师公寓南区,"[[121.53098916022171, 31.30590285003651]]",1.0
国顺东路26弄住宅小区,"[[121.53643542035846, 31.30596751488892]]",1.0
创智坊2区南区,"[[121.50533880024548, 31.306002029969754]]",1.0
政通路118弄小区,"[[121.51190087982184, 31.306016025219428]]",1.0
丰华家园,"[[121.46860440037287, 31.306016925440836]]",1.0
翔顺公寓,"[[121.53650543977423, 31.306017554966246]]",1.0
乾溪小区西区,"[[121.40668475999374, 31.306056209626426]]",1.0
乾溪小区,"[[121.40709443985656, 31.30606597536451]]",1.0
桂园别墅东南区,"[[121.24803420041805, 31.306068315400502]]",1.0
国定路600弄1～21号住宅小区,"[[121.50116748019514, 31.306069439553006]]",1.0
良辰美景公寓（北块）,"[[121.4628506998, 31.30612573531448]]",1.0
中心东二村,"[[121.500807299917, 31.30612920040234]]",1.0
东茂家苑,"[[121.52964995997776, 31.30613163037048]]",1.0
兰花教师公寓北区,"[[121.53086927969353, 31.306182659701996]]",1.0
二军大兰花村,"[[121.52568077964429, 31.306187474672285]]",1.0
海英苑,"[[121.42644048034393, 31.30621951481882]]",1.0
创智坊3区北区,"[[121.50405810000142, 31.30622113539716]]",1.0
创智坊2区北区,"[[121.50526842020147, 31.306251869728058]]",1.0
丰镇路151弄小区,"[[121.47023969970243, 31.306302495264]]",1.0
幸福第二公寓,"[[121.43342897976372, 31.30637674509073]]",1.0
广丰大厦,"[[121.46271750031246, 31.30638385513093]]",1.0
政通路100弄小区,"[[121.51342079973017, 31.30644690030428]]",1.0
安波路200弄小区,"[[121.53190860010193, 31.306463460420403]]",1.0
丰景湾名邸,"[[121.47028487984338, 31.306539599722825]]",1.0
新市公寓,"[[121.47602220016452, 31.306592520328586]]",1.0
桂园别墅南区,"[[121.2424907397559, 31.306624650407365]]",1.0
创智坊1区南区,"[[121.50710855991213, 31.306632839633906]]",1.0
金泉苑,"[[121.43305818029081, 31.306646024594407]]",1.0
望源公寓,"[[121.43557313978863, 31.306650120107044]]",1.0
国定路601弄小区,"[[121.50045647978283, 31.306678740131794]]",1.0
