name,point,type
盛世香樟苑,"[[121.30528086002366, 31.060478924862565]]",1.0
旗忠五区,"[[121.33479456002101, 31.060511595433788]]",1.0
明月清泉新苑,"[[121.3068877200923, 31.060746359856715]]",1.0
旗忠四区,"[[121.33450512041512, 31.060751985116084]]",1.0
四季草堂花园,"[[121.30439238020423, 31.060889954607738]]",1.0
新华公寓,"[[121.28270202028203, 31.060961820331777]]",1.0
保利西子湾城,"[[121.22856035997268, 31.060976130344237]]",1.0
绿地·蔷薇九里,"[[121.2250458597787, 31.06137150019461]]",1.0
爱丁堡小区,"[[121.1526950396444, 31.061526029802472]]",1.0
万科·梦想派,"[[121.23650915996984, 31.06250392471641]]",1.0
山水景苑,"[[121.19665337964977, 31.062749445030974]]",1.0
信达·蓝爵,"[[121.23760031999883, 31.062794939934555]]",1.0
兴华苑,"[[121.33602306001625, 31.063149090258378]]",1.0
亚龙华泽新苑,"[[121.31193744036072, 31.06326667481718]]",1.0
中山苑二期,"[[121.25335625968378, 31.063510259790704]]",1.0
聚龙小区,"[[121.296176999569, 31.063530419893]]",1.0
万宇·阳光苑,"[[121.31182764033335, 31.06357668011976]]",1.0
新东苑（南苑）,"[[121.32018215957908, 31.063823415418355]]",1.0
申新家园,"[[121.30504056027368, 31.063846994743066]]",1.0
新桥商苑,"[[121.31395361966388, 31.06394302525044]]",1.0
明月清泉南园,"[[121.30618841985972, 31.06397520029529]]",1.0
欣德苑,"[[121.3086936603842, 31.064121359912853]]",1.0
龙麒苑小区,"[[121.31112905955851, 31.06415753963882]]",1.0
天马花苑二区,"[[121.14206496042958, 31.064266124682]]",1.0
明月清泉（北园小区）,"[[121.30601850015378, 31.064455125303823]]",1.0
松江区国际生态商务区,"[[121.23945144043168, 31.06474501457081]]",1.0
新东苑（二村）,"[[121.32413532028889, 31.06506703481586]]",1.0
世贸纳米魔幻城,"[[121.15832472010985, 31.065173054992584]]",1.0
新乐雅苑,"[[121.30785503987826, 31.06542176969893]]",1.0
中山文化苑,"[[121.25358647983232, 31.065589395234426]]",1.0
新乐名苑,"[[121.30617797963006, 31.065684074960174]]",1.0
新鸿公寓,"[[121.30404191979883, 31.06589715043326]]",1.0
新东苑（一村）,"[[121.32104112005179, 31.065941430352815]]",1.0
新东苑（三村）,"[[121.32840779968024, 31.06670971488152]]",1.0
天一生水,"[[121.30580844010754, 31.06683391485334]]",1.0
天马花苑,"[[121.14546048031697, 31.067429714809556]]",1.0
合生广富汇,"[[121.19103719980698, 31.067541044583578]]",1.0
新育东区,"[[121.31666784014877, 31.06789623002703]]",1.0
新桥镇新乐小区,"[[121.30746516038894, 31.068010665160138]]",1.0
东渡海派青城,"[[121.31059967993136, 31.068086085004907]]",1.0
逸峰小区,"[[121.13980992029167, 31.068619335314146]]",1.0
