Point,Type,NAME,KIND,ADMINCODE,ADDRESS
"[[121.33379556, 30.71752060500004]]",2,临潮幼儿园,A701,310116,石化三村317
"[[121.34282813999997, 30.721483124999985]]",2,上海市金山区艺术幼儿园,A701,310116,海棠街39
"[[121.33874699999998, 30.721720635000008]]",2,金山区实验幼儿园（分部）,A701,310116,梅州新村136
"[[121.33588301999998, 30.724664355000034]]",2,东礁幼儿园,A701,310116,东礁3村16号
"[[121.31755344000004, 30.725098379999974]]",2,欧迈金阳光幼儿园,A701,310116,龙胜路1190弄129
"[[121.31381142000004, 30.725794934999964]]",2,金卫幼儿园,A701,310116,古城路221
"[[121.32759059999998, 30.730116779999975]]",2,金山区蓝天幼儿园,A701,310116,东平南路73
"[[121.33519505999999, 30.731363144999982]]",2,金山区阳光城幼儿园（分部）,A701,310116,尤山新村128
"[[121.35875705999996, 30.73257220500001]]",2,康城幼儿园,A701,310116,同凯路25
"[[121.34627279999995, 30.733613415000008]]",2,实验幼儿园,A701,310116,卫清西路38弄8
"[[121.35204035999996, 30.74244903000001]]",2,金山区艺术幼儿园蓝色收获园区,A701,310116,同凯路655号
"[[121.34300832000004, 30.745942559999964]]",2,上海总工会幼儿园金山分园,A701,310116,浦卫公路1888
"[[121.32986580000002, 30.748394609999988]]",2,金山区石化幼稚总园海趣幼儿园,A701,310116,龙翔路1108
"[[121.30880058000004, 30.748412564999963]]",2,学府幼儿园,A701,310116,龙皓路
"[[121.33894679999999, 30.75503562000004]]",2,金山区新城幼儿园,A701,310116,龙轩路708
"[[121.35826637999995, 30.76474716000004]]",2,亚贝尔艺术幼儿园,A701,310116,红旗东路237
"[[121.36568093999998, 30.766653270000013]]",2,山阳中心幼儿园,A701,310116,体育路35号
"[[121.37063346000002, 30.769955460000034]]",2,金山区曙光幼儿园,A701,310116,洙山路436
"[[121.24445165999997, 30.77800524000003]]",2,金山区钱圩中心幼儿园,A701,310116,钱圩钱富路68
"[[121.18719312000002, 30.79497172499999]]",2,金山区廊下幼儿园,A701,310116,培乐路50
"[[121.40555633999996, 30.796968419999995]]",2,金山漕泾幼儿园,A701,310116,中心街264
"[[121.40944830000001, 30.799299105000014]]",2,斯育漕泾幼儿园,A701,310116,花园港58号
"[[121.37183801999996, 30.800416229999986]]",2,护塘旺旺幼儿园,A701,310116,
"[[121.28939892000002, 30.805148969999976]]",2,张堰幼儿园,A701,310116,康贤路
"[[121.50565632000001, 30.82572972000002]]",2,金棕榈幼儿园,A701,310120,海乐路610
"[[121.17937373999999, 30.828947895000017]]",2,金山区吕巷幼儿园,A701,310116,建新大街71
"[[121.23249156, 30.830910884999987]]",2,金山区干巷幼儿园,A701,310116,红光路98
"[[121.47034320000003, 30.831340229999984]]",2,柘林幼儿园,A701,310120,钦林南路39
"[[121.47416603999996, 30.832260525000013]]",2,可贝幼儿园,A701,310120,
"[[121.51585061999998, 30.834506295000022]]",2,海湾兴旺幼儿园,A701,310120,海工路249
"[[121.42495980000002, 30.835171620000004]]",2,绿太阳幼儿园,A701,310120,胡桥新街232弄1
"[[121.33098251999996, 30.848476230000024]]",2,金工幼儿园,A701,310116,高林路81号
"[[121.33528289999997, 30.85969207499997]]",2,金山区朱行幼儿园,A701,310116,恒康路168
"[[121.55593806000002, 30.86239490999996]]",2,海湾幼儿园,A701,310120,
"[[121.47555761999999, 30.86602438499997]]",2,星南幼儿园,A701,310120,环城东路6016
"[[121.72996457999997, 30.866276250000027]]",2,上海五四幼儿园,A701,310120,五四农场三村57
"[[121.45745033999997, 30.867036120000016]]",2,柘林幼儿园新寺分部,A701,310120,新北路167号
"[[121.85677889999997, 30.867622560000044]]",2,浦东新区潮和幼儿园,A701,310115,潮和路113
"[[121.07092230000002, 30.86853313499998]]",2,兴塔幼儿园,A701,310116,星光路49
"[[121.53800718000002, 30.872785725000032]]",2,青村幼儿园钱桥分部,A701,310120,文新路21
"[[121.53714426000003, 30.875811795000033]]",2,奉贤区小童星幼儿园,A701,310120,振水路69号
"[[121.70176776000002, 30.87619424999997]]",2,上海奉贤区甜甜幼儿园,A701,310120,五四公路2887
"[[121.31290008000003, 30.87677335500001]]",2,亭林幼儿园,A701,310116,
"[[121.84673237999996, 30.87838710000004]]",2,芦潮港幼儿园,A701,310115,芦云路2号
"[[121.31893692000001, 30.881539755000034]]",2,斯恒幼儿园,A701,310116,亭朱公路1928
"[[121.30449714000004, 30.882574799999965]]",2,金山区亭林幼儿园,A701,310116,大通路61
"[[121.90906799999999, 30.883362615000046]]",2,临港新城海音幼儿园,A701,310115,古棕路438弄42
"[[121.04205696, 30.883377420000027]]",2,斯恒幼儿园,A701,310116,
"[[121.91309622000003, 30.88479784499996]]",2,滴水湖幼儿园,A701,310115,马樱丹路116号附近绿地·东岸连城
"[[121.32116153999996, 30.88481359500002]]",2,亭林乐乐幼儿园,A701,310116,南亭公路6188
"[[121.64422787999997, 30.88510344000002]]",2,圣爱幼儿园,A701,310120,共耕路
"[[121.16428254000002, 30.885470370000004]]",2,小哈佛幼儿园,A701,310116,众益街509
"[[121.01194152000002, 30.887891999999997]]",2,枫泾幼儿园分部,A701,310116,枫溪路64
"[[121.45205358000001, 30.891149909999996]]",2,金孔雀幼儿园,A701,310120,沈陆村829号
"[[121.47180263999999, 30.89326837500004]]",2,群星幼儿园,A701,310120,红星村720号
"[[121.15943243999999, 30.893786999999964]]",2,东风幼儿园,A701,310116,临仓街636
"[[121.01429267999995, 30.894091515000024]]",2,枫泾幼儿园,A701,310116,枫杰路
"[[121.23348714000004, 30.89421409500004]]",2,松隐幼儿园,A701,310116,中心路181
"[[121.20305328, 30.896429984999976]]",2,新农幼儿园,A701,310116,文化街56
"[[121.15389185999996, 30.89743537500003]]",2,健康幼儿园总部,A701,310116,健康路255
"[[121.16289798000003, 30.898060110000028]]",2,金山区罗星幼儿园,A701,310116,新安街80
"[[121.72899600000004, 30.898790729999995]]",2,奉贤区满天星幼儿园,A701,310120,堂前街29
"[[121.00057181999996, 30.899019284999987]]",2,小百合双语幼儿园,A701,310116,枫阳路
"[[121.15400165999998, 30.899804039999992]]",2,健康幼儿园分部,A701,310116,健康路
"[[121.15668654, 30.900468149999963]]",2,罗星幼儿园分部（南圩托儿所）,A701,310116,南圩新村79号
"[[121.60815263999999, 30.900522330000005]]",2,奉贤区奉城镇金池塘幼儿园,A701,310120,人民路
"[[121.82040774000002, 30.90059847]]",2,泥城幼儿园,A701,310115,泥城路160
"[[121.79304485999998, 30.900782385000028]]",2,彭镇幼儿园,A701,310115,马五公路
"[[121.61380175999996, 30.901659974999987]]",2,向阳幼儿园,A701,310120,褚聚路8
"[[121.61533014000003, 30.90205799999997]]",2,金池第二幼儿园,A701,310120,塘外文化街3
"[[121.18476942000002, 30.902176124999972]]",2,长浜村幼儿园,A701,310116,仙居路518
"[[121.15868976000002, 30.902210414999967]]",2,罗星幼儿园,A701,310116,临源街750
