Point,Type,NAME,KIND
"[[121.33690740025631, 30.709435815410608]]",1,金山区石化街道十五村,A900
"[[121.3380961196402, 30.710674305075123]]",1,石化十一村,A900
"[[121.34341097983295, 30.71171974536999]]",1,石化十三村小区,A900
"[[121.34157245980128, 30.71254076974079]]",1,十二村小区,A900
"[[121.33840517975531, 30.713042970057053]]",1,石化八村,A900
"[[121.3457684401615, 30.713217255072365]]",1,鸿芸小区,A900
"[[121.3428907795859, 30.71432893493244]]",1,石化街道九村小区,A900
"[[121.33302966029063, 30.714566400019415]]",1,石化一村,A900
"[[121.34196143996846, 30.714809445399588]]",1,广霖大楼,A900
"[[121.33498770022217, 30.714824789632317]]",1,广宇大楼,A900
"[[121.33421837967455, 30.714995294797063]]",1,石化二村,A900
"[[121.34621736014314, 30.715385894643397]]",1,十村小区,A900
"[[121.34225069971014, 30.71632851005277]]",1,石化六村,A900
"[[121.34236067960173, 30.716348400358434]]",1,七村小区,A900
"[[121.33736783965412, 30.717114299885083]]",1,石化四村小区,A900
"[[121.33263672040832, 30.717181710367697]]",1,石化三村小区,A900
"[[121.34564729968315, 30.71802509997847]]",1,石化临潮三村,A900
"[[121.3386427797406, 30.719847555420408]]",1,广安小区,A900
"[[121.33507986004763, 30.720083534827353]]",1,梅州新村,A900
"[[121.34294622009205, 30.720401955086224]]",1,临潮一村,A900
"[[121.34549232041435, 30.720798539920708]]",1,临潮二村,A900
"[[121.34283768001504, 30.72089308474814]]",1,海棠新村,A900
"[[121.35079116008397, 30.721868684592167]]",1,海浒新村,A900
"[[121.35385529958255, 30.722093415278934]]",1,华府海景,A900
"[[121.35420467990207, 30.722862600029053]]",1,华府海景4号楼,A900
"[[121.35420467990207, 30.722862600029053]]",1,华府海景3号楼,A900
"[[121.35464388001115, 30.723281729967894]]",1,华府海景1号楼,A900
"[[121.35464388001115, 30.723281729967894]]",1,华府海景2号楼,A900
"[[121.35406482003545, 30.72385255485161]]",1,海上明珠园,A900
"[[121.3339073401517, 30.7242582749994]]",1,东礁一村,A900
"[[121.33785870041876, 30.724340849850357]]",1,东礁四村,A900
"[[121.33501488043251, 30.72450604541772]]",1,东礁三村小区,A900
"[[121.33704041987953, 30.724642170399846]]",1,辰凯紫藤苑,A900
"[[121.33896623980021, 30.725838089756103]]",1,蒙山大楼,A900
"[[121.33740941980898, 30.725890784632035]]",1,东礁二村,A900
"[[121.34099213987548, 30.72594455959385]]",1,东泉一村,A900
"[[121.33085399971245, 30.72611294955307]]",1,桥英馨苑,A900
"[[121.33551347986324, 30.726913769754688]]",1,辰凯花苑,A900
"[[121.32833939994342, 30.726917189876474]]",1,东门苑,A900
"[[121.30244370041649, 30.727533104968913]]",1,老西门花苑,A900
"[[121.34154131987614, 30.727983060070272]]",1,东泉新村,A900
"[[121.33329822033667, 30.728197214729697]]",1,振阳新村,A900
"[[121.30851240022716, 30.728623184912117]]",1,临江北村小区,A900
"[[121.34555334031451, 30.72883594472313]]",1,玲桂花苑,A900
"[[121.31096724004615, 30.728968559651413]]",1,飞虹南村,A900
"[[121.32954647988618, 30.729153689591143]]",1,园中苑,A900
"[[121.31228447974506, 30.72931600462998]]",1,飞虹北村,A900
"[[121.32913733961661, 30.729324329654204]]",1,金浦苑,A900
"[[121.3479185402085, 30.729401684839928]]",1,合生·财富海景公馆,A900
"[[121.33958561998043, 30.729456045260356]]",1,山鑫阳光城,A900
"[[121.31463942017324, 30.72974148018521]]",1,金房花苑,A900
"[[121.3371707397379, 30.729920084644256]]",1,东岭豪苑,A900
"[[121.33320894014062, 30.73015687523965]]",1,山龙新村,A900
"[[121.33489535963312, 30.730163985279766]]",1,山鑫公寓,A900
"[[121.31890992015683, 30.730503015301956]]",1,锦华大楼,A900
"[[121.31935884013846, 30.73061209497223]]",1,滨海一村,A900
"[[121.32112481995453, 30.73108846496075]]",1,滨海二村,A900
"[[121.32085553955159, 30.731228910285985]]",1,滨海三四村,A900
"[[121.35065346038894, 30.73130649030235]]",1,韶盛·杭州湾家园,A900
"[[121.35117239978653, 30.731415569972626]]",1,金海岸花园,A900
"[[121.32199295980735, 30.731516595314673]]",1,滨海四村,A900
"[[121.31098704041958, 30.731697180080836]]",1,城西花苑,A900
"[[121.33082411973734, 30.73187056487474]]",1,欧洲城小区,A900
"[[121.35477510009085, 30.731879249627653]]",1,山鑫康城,A900
"[[121.32619344037506, 30.732528195020187]]",1,松卫新村,A900
"[[121.33502568039096, 30.732653070382952]]",1,新山龙,A900
"[[121.33869822024683, 30.732676739639906]]",1,棕榈湾,A900
"[[121.33821905966192, 30.733237305057635]]",1,书香门第,A900
"[[121.34599325988106, 30.7332440104028]]",1,金天地,A900
"[[121.3226911799541, 30.733314344581373]]",1,万寿新村,A900
"[[121.3316523000137, 30.733328429763283]]",1,卫龙新村,A900
"[[121.33411740019794, 30.733744004682116]]",1,辰凯紫薇苑,A900
"[[121.34880774038491, 30.733789004958687]]",1,蓝堡公馆,A900
"[[121.31837081975758, 30.73393223998093]]",1,御景龙庭,A900
"[[121.35582342001487, 30.734126864962924]]",1,海滨新城,A900
"[[121.34993526000427, 30.73440676456056]]",1,韶盛杭州湾家园,A900
"[[121.34996531984369, 30.734796510050927]]",1,金山豪庭,A900
"[[121.34437650007547, 30.73620528004963]]",1,金天地花园,A900
"[[121.34370780017495, 30.736246409644117]]",1,金瀚园,A900
"[[121.33774979971352, 30.736446435055015]]",1,三岛龙州苑,A900
"[[121.34746008021861, 30.737139570434863]]",1,金威园,A900
"[[121.34710080016188, 30.737420054591922]]",1,宝华海湾城,A900
"[[121.30932042040114, 30.737707289959502]]",1,卫康花苑,A900
"[[121.35061367977752, 30.7377638995844]]",1,山鑫联城花苑,A900
"[[121.35523428043783, 30.738125835339098]]",1,华江小区,A900
"[[121.30929035966244, 30.73815711016254]]",1,金康花苑,A900
"[[121.33358801967142, 30.738472470028498]]",1,金山世纪城,A900
"[[121.32724139967094, 30.73907339971762]]",1,金旭花园,A900
"[[121.35808853975438, 30.739140449572083]]",1,现代御墅,A900
"[[121.35121236026227, 30.739761810059505]]",1,金荷雅苑,A900
"[[121.35492467983019, 30.74162453984068]]",1,蓝色收获,A900
"[[121.30687458009787, 30.741658964989277]]",1,山康花苑,A900
"[[121.32883800027352, 30.744588150422864]]",1,清风别墅,A900
"[[121.35277872026174, 30.745216350254395]]",1,蓝色收获北区,A900
"[[121.29828930021114, 30.745779389707145]]",1,梦想家园,A900
"[[121.32656280003322, 30.746621249571014]]",1,君逸国际公馆,A900
"[[121.33471572005453, 30.746756789993896]]",1,龙泽园西区,A900
"[[121.32542502004867, 30.74689313980658]]",1,水韵紫城,A900
"[[121.31169408021766, 30.74711764476352]]",1,绿地·金卫新家园,A900
"[[121.30673454036686, 30.747636270297683]]",1,绿地·金卫新家园西区,A900
"[[121.3376993999075, 30.747791069702174]]",1,龙泽园东区,A900
"[[121.3329194996353, 30.748229279657608]]",1,涌金商业广场,A900
"[[121.32904751982721, 30.748326074588704]]",1,海趣馨苑,A900
"[[121.3235290801031, 30.748685670307502]]",1,水韵悦城,A900
"[[121.31151425987522, 30.74940656955758]]",1,绿地芳满庭,A900
"[[121.31007732041216, 30.750258914617262]]",1,金卫新家园,A900
"[[121.34001455972415, 30.751675245216468]]",1,晶珑俪榭,A900
"[[121.32526535980853, 30.75211107016984]]",1,金悦华庭,A900
"[[121.32567450007821, 30.75216034492407]]",1,赞成·红树林家园,A900
"[[121.33290942003379, 30.752727300024894]]",1,万盛金邸,A900
"[[121.32256103996012, 30.75306542982576]]",1,海上纳缇,A900
"[[121.34162123992841, 30.753481590203208]]",1,龙湾1号,A900
"[[121.34094264029068, 30.753632744655455]]",1,金域蔚蓝,A900
"[[121.34397636022098, 30.75717577494212]]",1,海尚馨苑,A900
"[[121.35093174030762, 30.758842754689425]]",1,御龙名邸,A900
"[[121.34812752016903, 30.759167564631483]]",1,海辰馨苑,A900
"[[121.34844701961433, 30.76000663479843]]",1,碧海云居,A900
"[[121.343986259958, 30.760504289941125]]",1,海皓馨苑,A900
"[[121.35252834001099, 30.761798624806723]]",1,宏阳小区,A900
"[[121.34998368040263, 30.761913059939822]]",1,御龙锦园,A900
"[[121.34640114020053, 30.763408725132585]]",1,海欣家园,A900
"[[121.36157945972437, 30.76434148487172]]",1,滨海花苑,A900
"[[121.36357529996019, 30.765967245092305]]",1,青年公寓,A900
"[[121.36344551969499, 30.76745683536477]]",1,玉兰新村,A900
"[[121.2176813403216, 30.790719224612623]]",1,万春苑,A900
"[[121.41966599978616, 30.795517710274154]]",1,桂景苑,A900
"[[121.37554368009683, 30.796214534673048]]",1,护塘小区（南门）,A900
"[[121.4161434002978, 30.79669482030973]]",1,中一东路小区（康发）,A900
"[[121.41467225961723, 30.79700369966107]]",1,中一东路小区（山青）,A900
"[[121.41237060042297, 30.797232120266166]]",1,中一东路小区（住盛）,A900
"[[121.40359722013565, 30.798008774785174]]",1,金桂花苑,A900
"[[121.37571306020962, 30.79815308989322]]",1,护塘小区（北口）,A900
"[[121.41406187985191, 30.798202680309522]]",1,中一东路小区（康鑫）,A900
"[[121.38486768019933, 30.79839811468132]]",1,海涯新苑,A900
"[[121.39872966024564, 30.799130535146134]]",1,漕泾新苑,A900
"[[121.18910616022114, 30.799132650351567]]",1,景展家园,A900
"[[121.4005483799039, 30.799859084928855]]",1,绿地漕泾新苑一期,A900
"[[121.40034858022284, 30.799879200065078]]",1,绿地漕泾新苑二期,A900
"[[121.27932665959774, 30.80136555008015]]",1,牡丹小区,A900
