name,point,type
康乐里三街,"[[121.47416603993092, 31.251465360438097]]",1.0
康乐里四街,"[[121.47413651968476, 31.25159550043208]]",1.0
昆山小区,"[[121.48473689968823, 31.251596264855806]]",1.0
局北村,"[[121.4661486603325, 31.25160229481012]]",1.0
天东小区,"[[121.47096167993766, 31.251646349899204]]",1.0
精文城市家园,"[[121.46051232038732, 31.25170610984908]]",1.0
长安小区,"[[121.48379298026188, 31.251733739720365]]",1.0
中海·万锦城南区,"[[121.45584041969977, 31.251762630441114]]",1.0
均益小区,"[[121.47332345970995, 31.251773385433474]]",1.0
复元坊,"[[121.46129657957354, 31.25181856467507]]",1.0
长兴里,"[[121.47384653958625, 31.251895109571713]]",1.0
红厦公寓,"[[121.46703425962346, 31.251895335301548]]",1.0
武进大楼,"[[121.475996820397, 31.251931425095187]]",1.0
长安里,"[[121.4846888399181, 31.252086899890536]]",1.0
局东村,"[[121.46744735960807, 31.252166954841115]]",1.0
荣陆里,"[[121.47785712021003, 31.25223728991906]]",1.0
上海铁路红厦实业有限公司王家宅公寓,"[[121.46711615998294, 31.25224610957038]]",1.0
鸿安里,"[[121.47653105996051, 31.252283505179655]]",1.0
博园大楼,"[[121.46583041993802, 31.252332510137343]]",1.0
同乐里,"[[121.47598872020333, 31.252352039814774]]",1.0
白金府邸,"[[121.49068878026311, 31.252404824623035]]",1.0
德年新邨,"[[121.47685326006987, 31.252424669962537]]",1.0
虬江大楼,"[[121.46673510014475, 31.252425300387316]]",1.0
白金湾,"[[121.50215964015538, 31.252439925162484]]",1.0
馀庆里,"[[121.47629076021056, 31.25246309979226]]",1.0
公益坊,"[[121.48019981996582, 31.252574610330036]]",1.0
中海·万锦城期,"[[121.45856760031461, 31.252691970058464]]",1.0
海宁小区,"[[121.48080317962308, 31.252696560198196]]",1.0
公益里,"[[121.49209764019398, 31.2528195451859]]",1.0
新外滩花苑,"[[121.50051102006765, 31.25283821960818]]",1.0
猛将弄,"[[121.48448147963663, 31.25287750469314]]",1.0
来安里总街,"[[121.4761123796826, 31.253003415175534]]",1.0
武海小区,"[[121.479126839732, 31.25305224026875]]",1.0
宇泰公寓,"[[121.49146565961259, 31.253108175401984]]",1.0
森巽里,"[[121.47039575995647, 31.25312702968874]]",1.0
顺天坊,"[[121.48206119986457, 31.253140890040093]]",1.0
光华坊,"[[121.46228747958358, 31.253163525076694]]",1.0
兴业小区,"[[121.48598034012072, 31.253262480179387]]",1.0
北方佳苑,"[[121.45791726007357, 31.253291010271894]]",1.0
晋阳里,"[[121.50854747968258, 31.253296499733757]]",1.0
交通里,"[[121.4708491801456, 31.253388750390563]]",1.0
灵艺大厦,"[[121.46373539976892, 31.253408100203693]]",1.0
临江大厦,"[[121.50394416039478, 31.25346178523327]]",1.0
