Point,Type,NAME,KIND,TELEPHONE,ADMINCODE,ADDRESS
"[[121.17502746000002, 30.943135215000005]]",6,闵行渡口,8301,,310117,G1501-上海绕城高速公路
"[[121.30664670000002, 30.945053475]]",6,醉白池站2号口,8301,,310117,G15-沈海高速公路
"[[121.30558865999997, 30.95247132000003]]",6,闵行开发区站1号出口,8301,,310117,G15-沈海高速公路
"[[121.02889932000001, 30.952716704999993]]",6,闵行开发区站2号口,8301,,310118,S32-申嘉湖高速公路
"[[121.02211008000003, 30.952963529999984]]",6,醉白池站3号口,8301,,310118,S32-申嘉湖高速公路
"[[121.84624728, 30.961190070000043]]",6,文井路站1号口,8082,,310115,
"[[121.23383579999995, 30.961609380000006]]",6,文井路站2号口,8180,,310117,松金公路
"[[121.84667819999996, 30.96194031000003]]",6,红园－游船码头,8082,,310115,
"[[121.72904009999999, 30.963232124999983]]",6,方塔园游船码头,8301,,310120,S2-沪芦高速公路
"[[121.14124146, 30.96429223500003]]",6,华宁路站1号口,8180,,310117,
"[[121.23484758000001, 30.964659480000044]]",6,华宁路站2号口,8180,,310117,松金公路8922临
"[[121.72248576000001, 30.96565753500002]]",6,192号码头,8301,,310120,S2-沪芦高速公路
"[[121.14231335999997, 30.965853105000036]]",6,金平路站1号口,8180,,310117,东三路335号附近
"[[121.45601789999996, 30.968931600000026]]",6,金平路站2号口,8301,,310120,S4-沪金高速公路
"[[121.45399253999997, 30.974184539999982]]",6,松江体育中心站2号口,8301,,310120,S4-沪金高速公路
"[[121.34720123999998, 30.98011288500004]]",6,松江体育中心站3号口,8180,,310112,西畴路559临
"[[121.34803949999997, 30.98015140500003]]",6,东川路站4号口,8180,,310112,西畴路558临
"[[121.24891259999998, 30.981157245000034]]",6,东川路站3号口,8301,,310117,S32-申嘉湖高速公路
"[[121.25719188000005, 30.981517515]]",6,松江出口,8301,,310117,S32-申嘉湖高速公路
"[[121.10275062, 30.982971420000034]]",6,剑川路站2号口,8301,,310117,G60-杭州湾环线高速公路
"[[121.37435189999997, 30.98382907500003]]",6,剑川路站1号口,8180,,310120,
"[[121.10315057999998, 30.983950979999996]]",6,惠南东站2号口,8301,,310117,G60-杭州湾环线高速公路
"[[121.78553345999997, 30.984633449999976]]",6,惠南东站3号口,8301,,310115,G1501-上海绕城高速公路
"[[121.36987602, 30.986351234999994]]",6,剑川路出口,8180,,310112,
"[[121.22607294, 30.986963144999997]]",6,惠南东站1号口,8082,,310117,小茜泾路
"[[121.67112077999998, 30.987134145000027]]",6,惠南东站4号口,8301,,310120,S2-沪芦高速公路
"[[121.22674379999998, 30.98716379999999]]",6,松江新城站3号口,8082,,310117,
"[[121.22653356000001, 30.987593415000013]]",6,松江新城站2号口,8082,,310117,
"[[121.66698797999999, 30.992758289999962]]",6,松江新城站1号口,8301,,310115,S2-沪芦高速公路
"[[121.78559340000004, 30.99324878999996]]",6,松江新城站4号口,8301,,310115,G1501-上海绕城高速公路
"[[121.42469286, 30.997273589999992]]",6,沪南公路出口,8180,,310120,
"[[121.44254796000003, 30.998780684999993]]",6,中英海底系统有限公司吴泾码头,8301,,310120,S4-沪金高速公路
"[[121.42185965999997, 30.999789539999973]]",6,上海糖库码头,8180,,310112,浦江路203号附近
"[[121.22452151999997, 31.00226399999999]]",6,锋信贸易·粮油码头,8082,,310117,人民南路
"[[121.36525416000003, 31.002349949999996]]",6,北桥站2号口,8082,,310112,东川路
"[[121.36513427999998, 31.00278991499998]]",6,北桥站1号口,8082,,310112,东川路3638号
"[[121.22485182000003, 31.003833555]]",6,新场站2号口,8082,,310117,人民南路
"[[121.37624675999999, 31.005383625]]",6,吴泾渡口,8082,,310112,东川路
"[[121.37611679999998, 31.00574353500003]]",6,新场站1号口,8082,,310112,东川路
"[[121.40975105999996, 31.005939374999976]]",6,野生动物园站2号口,8180,,310112,宾川路
"[[121.24020995999996, 31.006181520000027]]",6,野生动物园站1号口,8180,021-57838594,310117,方塔园内
"[[121.39075566, 31.009171995000017]]",6,杜行渡口,8082,,310112,东川路
"[[121.39063560000001, 31.009511879999984]]",6,惠南站3号口,8082,,310112,东川路
"[[121.37889294, 31.0129965]]",6,松江大学城站3号口,8180,,310112,临沧路192临
"[[121.40567963999999, 31.013084565]]",6,松江大学城站2号口,8082,021-64370000,310112,东川路
"[[121.40555957999999, 31.013424404999967]]",6,惠南站2号口,8082,021-64370000,310112,东川路
"[[121.226391, 31.017646304999964]]",6,惠南站4号口,8082,,310117,九峰路
"[[121.2257403, 31.01880505500001]]",6,惠南站1号口,8082,,310117,荣乐中路
"[[121.41522449999997, 31.019914980000003]]",6,松江大学城站4号口,8082,,310112,沪闵路1220
"[[121.41546480000002, 31.019975235000018]]",6,松江大学城站1号口,8082,,310112,沪闵路1220
"[[121.22222688, 31.02240978000001]]",6,金泽出口,8301,,310117,G60-沪昆高速公路
"[[121.22977248000002, 31.023025379999964]]",6,航头东站3号口,8301,,310117,G60-沪昆高速公路
"[[121.41196019999995, 31.028157135000022]]",6,航头东站2号口,8082,,310112,剑川路
"[[121.41214038000004, 31.02822724499996]]",6,航头东站4号口,8082,,310112,沪闵路1660
